ADDRESS,CLND
0xed1147269df49313277cb627a6a36fedf451abfb,490
0x40484ce186119bd113bb83fc276e4dc01e077fc5,125
0xc2fe50e4e2a72346108527a815627dda4bbd165c,1853
0x19a9ba3b3e15a1a2d8ddb1019da5ef861be25a0d,330
0x3e24fb9dc7d923cc4088494fb08a06cc890fc002,132
0x33f3172d37f51fc6f0d3d53667cc1b4400dbeea0,79
0x8afe590a2de1dd20120369dd7f28998caba1f3e1,125
0x17ccedb9a15a2ee91f0b1ba67e5b6a2d0df4dd60,53
0x020d1022160410d730c39695c083daff247525af,27
0xbec8e85795e04745a375a1ac95c0d7862fbfd175,204
0x57fdb7e3c877f68c6823a1818317ee0062aca065,14
0x3cbdd46c81ce4c7bf9550d499cf47d2c26433d8c,108
0x79c605526178e3bb8dcde571f77389390cc1ea8e,199
0xd683ec0871c6e6aa0792c33ed42a36868e6389e9,1321
0x4b0f9f050577bae155c01c3466b8cf33282dc0cc,1321
0x4b37f75540963fb256578b46d9e513b31824192c,66
0x9ef246d5f579d1513a50733f17a23479c71e6d1a,6600
0xe513857e59fd0d9adcb42821f19653464d4fe657,324
0xce1985e475dd8cc38b12d840bd081be0bdc826d0,224
0x59a9719f79bc24a2bdc7be7a4aab0ed86432711f,14
0x6f0eb6822ea838fe3c1198d21d76b07f8c79bbe6,53
0xf46163413e10cf3d7caa07d3bb78d0a4630dfd95,553
0x849b0fcbd031bd8f4af799930845ca7aac4c6854,15
0xd2645f07b873553621042aa499e1da490fba47f4,660
0xe9eece21d48655e600e95fc44e4d9d23c180469b,330
0x45a8a5b42dac256b3f639470bb5e5ff70b87e3ca,53
0x1079a9e84ba30a17840136c1222de6ed4e22f001,56
0xba6dec8522d19b4d54c530d45f327de474933077,2673
0x43f8b563201b66ab99ee139c163038c113341cb0,556
0x1199f6474cf0bcf306b6d25546412f853e5aa95b,72
0xc6bab29feefea2586e272209acf952026d0e81cd,845
0xcf96535242e5566e13acbfc8505bacf43562f58f,1980
0xe7a2fc013fe71bc188b979b7dc28b5430f9f2ba4,68
0x43be149662660989ef1cb86e0d326b5b322743b0,86
0xff51cc11aeb28f7709d332c7b0ca71fa290bb24d,1967
0xa9a4bef3b8cf47e2a3c8407193dfa38ccc4454a7,330
0x9b3bea45c378f0e3c5660de094f365cb0e8940f5,12
0x05332d4b3b53459b177f8e35cd270d104447577a,1875
0x5e38e06578fbbac907b5a0dbf515afa3ed7f363e,73
0x235095aa15c7c8ed76e34abff7016c1e5d41b20e,594
0xc2c74a089c81b9f33a777b661df4998605177b1b,80
0x8e54e17f28a74a6d3005cf4cd1b41a2bdacc27f4,753
0xa4c0baedfeae242abeecc98745486a62c5186f10,11548
0xa294c8c43f039c2b24c15fffc2fae567a7baffec,693
